capture_id,section_id,screen_name,route_or_page,purpose,highlight_target,step_marker,caption_ko,note
PORTAL-01-LIST,E.2,Brand Portal Support 목록 및 검색/필터,/portal/support,등록된 케이스 목록 조회 및 검색/상태 필터링 기능 설명,검색창 및 상태 필터 버튼,1: 검색어 입력 / 2: 상태 필터 탭 선택,Brand Portal Support 목록 화면 및 상태 필터 탭,프로덕션 배포 완료 화면
PORTAL-02-NEW-MODAL,E.4,새 1:1 문의 작성 모달,/portal/support (Modal),파트너사의 신규 Support Case 등록 작성 폼 안내,카테고리 선택 / 제목 / 내용 / 첨부파일,1: 문의 유형 선택 / 2: 제목 / 3: 내용,새 문의 작성 폼 (문의 유형 및 내용 입력),최대 20MB 첨부 지원
PORTAL-03-CONVERSATION,E.7,Portal 케이스 상세 대화 내용 탭,/portal/support (Detail),실제 대화 메시지 및 첨부파일 확인 흐름 안내,💬 대화 내용 (Conversation) 탭,1: 대화 내용 탭 선택,대화 내용 (Conversation) 탭 - 사람 간 텍스트 대화,사람이 작성한 대화만 100% 표시
PORTAL-04-CASELOG,E.8,Portal 케이스 상세 처리 기록 탭,/portal/support (Detail),케이스 생성부터 상태 변경 및 종료까지 Audit Trail 안내,📋 Case Log (처리 기록) 탭,1: Case Log 탭 선택,Case Log 탭 - 시스템 운영 Audit Trail 이력,시스템 감사 이벤트 전용
PORTAL-05-ACTION-REQ-BANNER,E.9,Portal 조치 필요 배너 및 조치 요청 내용,/portal/support (Detail),어드민의 조치 요청 수신 시 파트너 화면 안내,조치 완료 작성 및 검토 요청 버튼,1: 조치 완료 작성 버튼,조치 필요 (ACTION_REQUIRED) 상태 케이스 및 조치 완료 작성 버튼,조치 필요 시 붉은색 뱃지/배너 표출
PORTAL-06-RESOLVE-MODAL,E.10,조치 완료 작성 및 검토 요청 모달,/portal/support (Modal),파트너 조치 내용 작성 및 파일 첨부 제출 모달,조치 내용 입력 폼 및 제출 버튼,1: 조치 내용 작성 / 2: 검토 요청 제출,조치 완료 작성 및 검토 요청 모달,제출 시 status는 UNDER_REVIEW(검토중)로 전이 (종료 아님)
PORTAL-07-CLOSE-MODAL,E.11,Portal 문의 종료 확인 모달,/portal/support (Modal),파트너사의 명시적 문의 종료 처리 폼 안내,문의 종료 Confirm 팝업 및 종료 처리 버튼,1: 종료 처리 확정 버튼,문의 종료 확인 모달,명시적 종료 시 status는 CLOSED로 전이
PORTAL-08-RATING,E.12,Portal 종료 케이스 만족도 평가,/portal/support (Detail),종료된 케이스에 대한 별점 (1~5점) 및 서술형 평가 작성,별점 (1~5점) 및 평가 제출 폼,1: 별점 선택 / 2: 평가 저장,종료 케이스 만족도 평가 및 수정 영역,CLOSED 케이스에서만 평가 가능
PORTAL-09-FOLLOWUP,E.13,Portal 후속 문의 (Follow-up Case) 생성 버튼,/portal/support (Detail),종료 케이스와 연관된 추가 문의 생성 흐름 안내,후속 문의하기 버튼,1: 후속 문의하기 버튼 클릭,종료 케이스 하단 후속 문의하기 버튼,CLOSED 케이스는 Reopen하지 않고 새 케이스로 생성
ADMIN-01-LIST,F.1,Admin Partner Inquiries 목록 및 필터,/admin/partner-inquiries,전체 파트너사의 Support Case 목록 조회 및 담당자 처리 관리,검색창 / 4대 공식 상태 필터,1: 검색 / 2: 상태 필터 탭,Admin Partner Inquiries 목록 화면 및 4대 공식 상태 필터,어드민 전체 케이스 통합 관리
ADMIN-02-CONVERSATION,F.6,Admin 케이스 상세 Conversation 탭,/admin/partner-inquiries (Detail),파트너사 대화 메시지 및 조치 내용 확인,Conversation 탭,1: 대화 내용 탭,Admin 케이스 상세 - Conversation 탭,어드민 조치 요청 텍스트도 대화창에 노출
ADMIN-03-CASELOG,F.7,Admin 케이스 상세 Case Log 탭,/admin/partner-inquiries (Detail),케이스 전체 처리 및 상태 변경 Audit Trail 이력,Case Log 탭,1: Case Log 탭,Admin 케이스 상세 - Case Log 탭,시스템 변경 이력 보존
ADMIN-04-REPLY-FORM,F.8,Admin 3-Action Group 답변 작성 영역,/admin/partner-inquiries (Detail),답변 등록 / 답변 등록 후 케이스 종료 / 답변 없이 케이스 종료 액션 통합 영역,3-Action 버튼 그룹,1: 답변 등록 / 2: 답변 등록 후 케이스 종료 / 3: 답변 없이 케이스 종료,Admin 3-Action Group 답변 작성 및 종료 영역,답변 작성 영역 하단에 논리적 그룹 배치
ADMIN-05-ACTION-REQUIRED-TOGGLE,F.9,Admin 조치 요청 포함 체크박스 UI,/admin/partner-inquiries (Detail),파트너사에 추가 조치 요청 발송 설정,⚠️ 조치 요청 포함 체크박스,1: 조치 요청 포함 체크박스 클릭,조치 요청 포함 체크박스 (ACTION_REQUIRED 지정),체크 시 status가 ACTION_REQUIRED로 전이
ADMIN-06-CLOSED-INFO,F.13,Admin 종료 케이스 및 파트너 만족도 확인,/admin/partner-inquiries (Detail),종료 시각, 종료 주체(어드민/파트너사) 및 파트너 만족도 별점 확인,케이스 종료 안내 뱃지 및 파트너 만족도 카드,1: 파트너 만족도 카드,Admin 종료 케이스 상세 및 파트너 만족도 별점 표시,만족도 점수 및 의견 실시간 확인
